ROW NUMBER=20000 (cgs units)
Nr=100
Nz=200
r[cm],z/r,z[cm],n_H[cm**-3],Tgas[K],tauv_star,tauv_zup,tauv_zdn,dtauv_z,Tdust[K]
 5.271E+11, 1.600E-03, 8.433E+08, 1.564E+17, 1.421E+03, 1.439E+05, 3.268E+04, 3.991E+04, 7.227E+03, 1.421E+03
 5.271E+11, 7.492E-03, 3.949E+09, 1.452E+17, 1.290E+03, 1.534E+05, 2.545E+04, 4.662E+04, 6.710E+03, 1.290E+03
 5.271E+11, 1.338E-02, 7.054E+09, 1.246E+17, 1.410E+03, 1.160E+05, 1.874E+04, 5.238E+04, 5.761E+03, 1.410E+03
 5.271E+11, 1.928E-02, 1.016E+10, 9.882E+16, 1.456E+03, 9.263E+04, 1.298E+04, 5.695E+04, 4.568E+03, 1.457E+03
 5.271E+11, 2.517E-02, 1.327E+10, 7.266E+16, 1.424E+03, 6.811E+04, 8.414E+03, 6.031E+04, 3.358E+03, 1.424E+03
 5.271E+11, 3.106E-02, 1.637E+10, 4.923E+16, 1.271E+03, 5.369E+04, 5.056E+03, 6.258E+04, 2.275E+03, 1.271E+03
 5.271E+11, 3.695E-02, 1.948E+10, 2.953E+16, 1.416E+03, 2.819E+04, 2.780E+03, 6.395E+04, 1.365E+03, 1.416E+03
 5.271E+11, 4.284E-02, 2.258E+10, 1.637E+16, 1.426E+03, 1.579E+04, 1.415E+03, 6.470E+04, 7.569E+02, 1.426E+03
 5.271E+11, 4.873E-02, 2.569E+10, 8.062E+15, 1.276E+03, 9.234E+03, 6.582E+02, 6.507E+04, 3.726E+02, 1.276E+03
 5.271E+11, 5.463E-02, 2.879E+10, 3.626E+15, 1.280E+03, 4.237E+03, 2.856E+02, 6.524E+04, 1.676E+02, 1.280E+03
 5.271E+11, 6.052E-02, 3.190E+10, 1.703E+15, 1.308E+03, 2.025E+03, 1.180E+02, 6.532E+04, 7.869E+01, 1.309E+03
